drug_a,drug_b,severity,clinical_effect,safer_alternative
Atorvastatin,Itraconazole,Major,"Increased atorvastatin exposure, elevating the risk of myopathy and rhabdomyolysis.",Pravastatin or Rosuvastatin
Metformin,Cimetidine,Moderate,"Increased metformin levels, potentially increasing the risk of lactic acidosis.",Famotidine or Ranitidine
Quetiapine,Phenytoin,Major,"Dramatically reduced quetiapine levels, leading to loss of efficacy in treating psychiatric symptoms.",Valproic Acid
Sildenafil,"Alpha-blockers (e.g., Doxazosin)",Major,"Symptomatic hypotension, dizziness, syncope.",Tamsulosin
Warfarin,Vitamin K,Major,"Reduced anticoagulant effect of warfarin, increasing risk of thrombosis.",Consistent dietary intake
Ciprofloxacin,Calcium Carbonate,Moderate,"Significantly reduced antibiotic absorption, leading to potential therapeutic failure.",Space administration by 2-4 hours
Levothyroxine,"Proton Pump Inhibitors (e.g., Omeprazole)",Moderate,"Decreased levothyroxine efficacy, requiring dose increase.",Consider liquid levothyroxine formulation
Duloxetine,Aspirin,Moderate,"Increased risk of bleeding, particularly GI bleeding.",Acetaminophen for pain
Metoprolol,Diphenhydramine,Minor,Increased drowsiness and fatigue.,Loratadine or Cetirizine (2nd-gen antihistamines)
Warfarin,Ginkgo Biloba,Moderate,Increased risk of bleeding.,Avoid herbal supplement
Sertraline,Tamsulosin,Minor,Potential for increased incidence of dizziness or orthostatic hypotension.,Monitor for dizziness
Furosemide,Ibuprofen,Moderate,"Fluid retention, edema, and reduced blood pressure control.",Acetaminophen
Citalopram,Tramadol,Major,Increased risk of serotonin syndrome and reduced analgesic efficacy of tramadol.,Morphine
Insulin,"Beta-Blockers (e.g., Propranolol)",Moderate,"Masked hypoglycemia symptoms, increased risk of severe hypoglycemia.","Cardioselective beta-blocker (e.g., Atenolol, Metoprolol)"
Digoxin,Hawthorn,Moderate,Potential for increased risk of bradycardia and digoxin toxicity.,Avoid herbal supplement
Venlafaxine,Ketoconazole,Moderate,"Increased venlafaxine and desvenlafaxine levels, potentially increasing side effects (hypertension, nausea, serotonin syndrome risk).",Terbinafine
Phenytoin,Warfarin,Moderate,Unpredictable effect on INR; may increase or decrease warfarin effect.,Monitor INR very closely
Diazepam,Cimetidine,Moderate,"Increased diazepam levels, leading to prolonged sedation and CNS depression.",Famotidine or Ranitidine
Lithium,"ACE Inhibitors (e.g., Lisinopril)",Major,Increased lithium levels and risk of toxicity.,"Calcium Channel Blocker (e.g., Amlodipine)"
Sildenafil,Erythromycin,Moderate,"Increased sildenafil levels, increasing the risk of side effects (hypotension, flushing, priapism).",Azithromycin
Metronidazole,Ethanol,Major,"Acetaldehyde accumulation causing nausea, vomiting, flushing, tachycardia, and hypotension.",Abstain from alcohol
Tetracycline,Ferrous Sulfate,Major,"Markedly reduced absorption of both tetracycline and iron, leading to therapeutic failure for both.",Space administration by 2-4 hours
Bupropion,Ritonavir,Moderate,Reduced bupropion levels and efficacy.,Monitor for decreased efficacy
Olanzapine,Carbamazepine,Major,"Dramatically reduced olanzapine levels, leading to loss of antipsychotic efficacy.",Valproic Acid
Warfarin,Saw Palmetto,Minor,"Potential increased risk of bleeding, though evidence is weak.",Avoid herbal supplement
Levothyroxine,Soy Protein,Moderate,Decreased levothyroxine absorption and efficacy.,Space administration by 4 hours
Paroxetine,Tamoxifen,Major,"Drastically reduced endoxifen levels, significantly increasing the risk of breast cancer recurrence.",Venlafaxine or Citalopram
Diltiazem,Sildenafil,Moderate,"Increased risk of hypotension, dizziness, and flushing.",Use lower sildenafil dose (25mg)
Metformin,Contrast Dye (Iodinated),Major,Increased risk of metformin-associated lactic acidosis.,Withhold metformin
Amitriptyline,Alcohol,Major,"Severely impaired motor skills, dizziness, and increased risk of overdose.",Avoid alcohol
Furosemide,Gentamicin,Major,Increased risk of irreversible hearing loss and acute kidney injury.,Monitor levels and function closely
Carbamazepine,Doxycycline,Moderate,Reduced doxycycline levels and antibiotic efficacy.,Increase doxycycline dose or use alternative antibiotic
Warfarin,Green Tea,Minor,Reduced INR and anticoagulant effect.,Consistent dietary intake
Insulin,"Thiazide Diuretics (e.g., HCTZ)",Moderate,"Worsened glycemic control, requiring an increase in insulin dose.",Monitor blood glucose closely
Celecoxib,Fluconazole,Moderate,"Increased celecoxib levels, increasing the risk of GI bleeding and cardiovascular events.",Acetaminophen or a non-CYP2C9 metabolized NSAID
Digoxin,"Macrolides (e.g., Clarithromycin)",Major,Increased digoxin levels and risk of toxicity.,Azithromycin
Phenobarbital,Oral Contraceptives,Major,"Significantly reduced contraceptive hormone levels, leading to contraceptive failure.",Non-hormonal IUD or higher-dose OC
Quetiapine,Hydrocodone,Moderate,"Increased sedation, dizziness, and impaired mental alertness.",Monitor closely for sedation
Warfarin,Dronedarone,Major,Increased warfarin levels and risk of bleeding.,Reduce warfarin dose by 50%
Sertraline,Sumatriptan,Moderate,Theoretical increased risk of serotonin syndrome.,Monitor for serotonin syndrome
Metronidazole,Lithium,Moderate,Increased lithium levels and risk of toxicity.,"Alternative antibiotic (e.g., Clindamycin)"
Atorvastatin,Grapefruit Juice,Major,"Markedly increased atorvastatin absorption and exposure, significantly increasing the risk of myopathy.",Avoid grapefruit juice
Venlafaxine,Methadone,Moderate,Potential for increased methadone levels and increased risk of QTc prolongation.,Monitor QTc interval
Warfarin,Fish Oil (Omega-3),Minor,Theoretical increased risk of bleeding.,Use with caution and monitor INR
Citalopram,Carvedilol,Minor,"Potential for a slight increase in carvedilol levels and effects (bradycardia, hypotension).",Monitor heart rate and BP
Spironolactone,Digoxin,Minor,Slight increase in digoxin levels.,Monitor digoxin levels
Omeprazole,Clozapine,Moderate,"Increased risk of clozapine toxicity (sedation, seizures, myocarditis).",Pantoprazole
Warfarin,Cranberry Juice,Minor,Potential to increase INR and risk of bleeding.,Avoid large or concentrated amounts
Metformin,Cephalexin,Minor,Theoretical minor increase in metformin levels.,Monitor
Dextromethorphan,Quinidine,Moderate,"Greatly increased dextromethorphan levels, leading to serotonin syndrome and CNS side effects.",Guaifenesin
Levothyroxine,Aluminum Hydroxide (Antacid),Moderate,Reduced levothyroxine efficacy.,Space administration by 4 hours
Risperidone,Carbamazepine,Major,"Complex; may alter the ratio of risperidone to its metabolite and reduce total active moiety levels, potentially reducing efficacy.",Valproic Acid
Warfarin,Aspirin,Major,"Significantly increased risk of major bleeding, especially gastrointestinal bleeding.","Use only if strong indication exists (e.g., mechanical heart valve)"
Sildenafil,"Alpha-Blockers (e.g., Doxazosin)",Major,"Symptomatic hypotension, dizziness, syncope.",Tamsulosin
Fluoxetine,Risperidone,Moderate,"Increased risperidone levels and decreased 9-hydroxyrisperidone levels, potentially increasing the risk of side effects (extrapyramidal symptoms, sedation).",Sertraline or Citalopram
